None,振幅,振幅,1日收益,1日收益,5日收益,5日收益,20日收益,20日收益,成交量变化,成交量变化,日多头持仓占比变化,日多头持仓占比变化,日空头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向,1日资金流向变化率,1日资金流向变化率
None,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret,cmt,ret
2018-01-22,沥青,-0.00502873563218,沥青,-0.00502873563218,棉花,0.00322164948454,棉花,0.00322164948454,沥青,-0.00502873563218,沪金,0.0032315978456,沪铜,-0.00333951762523,PTA,0.00105857445307,沪铜,-0.00333951762523,菜粕,0.001303214596,沪铜,-0.00333951762523,螺纹钢,-0.00381970970206,热卷,0.00128270908158
2018-01-22,沪镍,0.0119748325553,豆油,0.00278551532033,菜粕,0.001303214596,塑料,0.00758341759353,淀粉,-0.00621118012422,棉花,0.00322164948454,PVC,0.0059880239521,聚丙烯,0.00856598984772,焦煤,0.010224144711,玻璃,0.00686341798216,沥青,-0.00502873563218,PTA,0.00105857445307,鸡蛋,-0.00108695652174
2018-01-23,铁矿石,0.000958772770853,沪镍,-0.0108303249097,动力煤,0.012484774665,沥青,0.0332129963899,玉米,0.00280426247897,玉米,0.00280426247897,PVC,0.014880952381,玉米,0.00280426247897,沪金,0.00465282748747,玉米,0.00280426247897,沥青,0.0332129963899,沪铜,-0.0184288905436,沪锌,-0.0129696738508
2018-01-23,焦煤,0.00350330868042,甲醇,-0.00949701020049,螺纹钢,0.00639059304703,PTA,0.0140994007755,塑料,-0.00752634219769,玻璃,-0.0054533060668,铁矿石,0.000958772770853,沪金,0.00465282748747,PVC,0.014880952381,沥青,0.0332129963899,铁矿石,0.000958772770853,沪锌,-0.0129696738508,玻璃,-0.0054533060668
2018-01-23,沪镍,-0.0108303249097,焦煤,0.00350330868042,棉花,-0.00481695568401,沪镍,-0.0108303249097,焦煤,0.00350330868042,甲醇,-0.00949701020049,焦煤,0.00350330868042,PVC,0.014880952381,沪银,-0.00285937093839,沪镍,-0.0108303249097,沪铜,-0.0184288905436,沪铝,-0.000682593856655,沪铝,-0.000682593856655
2018-01-23,天胶,-0.00144980065241,聚丙烯,-0.0041941910454,热卷,0.00922367409685,动力煤,0.012484774665,沥青,0.0332129963899,棉花,-0.00481695568401,玉米,0.00280426247897,棉花,-0.00481695568401,沥青,0.0332129963899,焦煤,0.00350330868042,玉米,0.00280426247897,螺纹钢,0.00639059304703,棉花,-0.00481695568401
2018-01-23,焦炭,0.00376317109885,塑料,-0.00752634219769,沪镍,-0.0108303249097,塑料,-0.00752634219769,淀粉,0.00192307692308,棕榈油,0.00538254517493,玻璃,-0.0054533060668,聚丙烯,-0.0041941910454,玻璃,-0.0054533060668,螺纹钢,0.00639059304703,沪锌,-0.0129696738508,PTA,0.0140994007755,热卷,0.00922367409685
2018-01-24,沥青,0.0188679245283,沥青,0.0188679245283,动力煤,0.00511278195489,沥青,0.0188679245283,玉米,-0.000559284116331,热卷,0.00863163239401,白糖,0.000690607734807,棕榈油,-0.000764818355641,PVC,0.00513196480938,沥青,0.0188679245283,焦煤,0.0232738557021,沪铜,0.021050635312,沪锌,0.016038647343
2018-01-24,沪铜,0.021050635312,PVC,0.00513196480938,PVC,0.00513196480938,PTA,0.00139033715676,塑料,0.00556117290192,沥青,0.0188679245283,豆一,0.00426015336552,玉米,-0.000559284116331,白糖,0.000690607734807,焦煤,0.0232738557021,沪铜,0.021050635312,沪锌,0.016038647343,玻璃,0.0198766278273
2018-01-24,焦煤,0.0232738557021,PTA,0.00139033715676,沥青,0.0188679245283,动力煤,0.00511278195489,焦煤,0.0232738557021,豆油,-0.000346020761246,棉花,0.00129073894805,棉花,0.00129073894805,焦煤,0.0232738557021,玉米,-0.000559284116331,玉米,-0.000559284116331,沪铝,0.0102459016393,沪铝,0.0102459016393
