,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2014-07-17,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,0.0,0.0,0.0,22.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,0.0,0.0,0.0,16.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,0.0,0.0,0.0,16.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,0.0,0.0,0.0,16.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,0.0,0.0,0.0,16.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,0.0,0.0,0.0,14.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,0.0,0.0,0.0,14.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,0.0,0.0,0.0,14.0,14.0,10.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,0.0,0.0,0.0,14.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,0.0,0.0,0.0,12.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,0.0,0.0,0.0,10.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,0.0,0.0,0.0,8.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,0.0,0.0,0.0,8.0,14.0,12.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,0.0,0.0,0.0,6.0,14.0,14.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,0.0,0.0,0.0,6.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,0.0,0.0,0.0,6.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,0.0,0.0,0.0,6.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,0.0,0.0,0.0,6.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,0.0,0.0,0.0,4.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,0.0,0.0,0.0,4.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,0.0,0.0,0.0,4.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,0.0,0.0,0.0,4.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,0.0,0.0,0.0,4.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,0.0,0.0,0.0,4.0,14.0,16.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,0.0,0.0,0.0,0.0,14.0,16.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,0.0,0.0,0.0,0.0,14.0,28.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,0.0,0.0,0.0,0.0,14.0,28.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,0.0,0.0,0.0,0.0,14.0,28.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,0.0,0.0,0.0,0.0,14.0,28.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,0.0,0.0,0.0,0.0,14.0,22.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
