,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2015-05-07,10996.1877815,4475.7309732,1644.7541704,1717.629037,2328.8601729,829.213428
2015-05-08,10811.6464259,4378.2360364,1574.7844216,1718.2050504,2307.9019505,832.518967
2015-05-11,10961.2351832,4452.5223965,1622.6950194,1749.7085814,2302.4022335,833.9069524
2015-05-12,10899.4332678,4437.5800643,1640.8916067,1724.1370982,2270.6566607,826.1678379
2015-05-13,10991.2040776,4482.2430882,1636.3171982,1696.1052178,2323.1593723,853.3792011
2015-05-14,10981.6168477,4518.7599286,1620.6802142,1657.7354388,2279.654535,904.7867311
2015-05-15,10805.9243966,4456.2672106,1583.8897717,1690.8901228,2227.4142744,847.4630171
2015-05-18,10841.4074135,4431.6788332,1582.2486293,1698.889158,2224.4588464,904.1319466
2015-05-19,10609.8794841,4355.9329466,1569.9672005,1668.088079,2191.8731886,824.0180694
2015-05-20,9954.6719511,4139.6720747,1433.7224928,1581.1851166,2115.6736213,684.4186457
2015-05-21,9984.0647289,4164.9293848,1444.9308158,1626.9026354,2069.7538114,677.5480815
2015-05-22,10047.709276,4225.4777873,1462.2320908,1616.3542978,2057.3377611,686.307339
2015-05-25,10072.6347503,4223.5374302,1471.8818097,1656.8320072,2049.5737922,670.809711
2015-05-26,10142.850601,4240.9215359,1501.0424593,1651.3667476,2061.930954,687.5889042
2015-05-27,10243.4717696,4293.7415763,1518.6983922,1646.358474,2080.3931812,704.2801459
2015-05-28,10204.864832,4289.3120811,1519.3693715,1601.0200976,2094.6913527,700.4719291
2015-05-29,10071.3486018,4256.0028272,1559.8417808,1533.0670248,2039.4061419,683.0308271
2015-06-01,10275.3087495,4423.4271641,1540.7246656,1600.2943292,2019.6747602,691.1878304
2015-06-02,10373.6524219,4478.3792011,1583.7483703,1578.9300736,2032.8864071,699.7083698
2015-06-03,10206.6841046,4366.1695892,1589.7487105,1526.607126,2021.2709947,702.8876842
2015-06-04,10106.427218,4323.0648742,1545.7648522,1510.9231486,2007.9297066,718.7446364
2015-06-05,10100.5314472,4310.9882078,1539.6867416,1484.6448404,2010.5613444,754.650313
2015-06-08,10148.7271375,4333.2483209,1546.2785954,1476.6649362,2013.1186606,779.4166244
2015-06-09,10069.4154769,4259.2347708,1541.3368138,1478.5383756,1995.9736779,794.3318388
2015-06-10,10314.3506221,4257.419578,1597.0206229,1671.1287102,1984.4782919,804.3034191
2015-06-11,10484.3013751,4247.7925714,1651.8068743,1828.8403796,1955.4163387,800.4452111
2015-06-12,10236.8201039,4087.1812103,1538.484251,1829.5868644,1983.7722092,797.795569
2015-06-15,10144.9827306,4018.4924896,1535.0078687,1867.090104,1947.5650307,776.8272376
2015-06-16,10142.3678246,4004.9557443,1540.3125615,1852.3175158,1961.4731062,783.3088968
2015-06-17,10083.8127081,3950.9734223,1525.6437504,1873.9809446,1952.4501168,780.764474
2015-06-18,9974.9381677,3904.973116,1515.5397712,1860.6726244,1930.5750845,763.1775716
2015-06-19,9709.3727102,3802.1549666,1479.8988652,1786.154333,1905.6036598,735.5608856
2015-06-23,9710.0429635,3779.8808022,1462.3565982,1807.4350232,1923.1797741,737.1907658
2015-06-24,10030.9525712,3850.522023,1503.9272322,1966.8609138,1946.586408,763.0559942
2015-06-25,10013.0312169,3847.6445102,1501.2524494,1975.9989562,1926.7480902,761.3872109
2015-06-26,9802.5786826,3732.6005977,1480.728864,1930.1852202,1884.1819968,774.8820039
2015-06-29,9436.3899589,3582.0966622,1408.8562897,1901.8728374,1796.9122304,746.6519392
2015-06-30,9080.0269061,3448.909145,1372.8292146,1719.093743,1796.1257446,743.0690589
2015-07-01,9041.9896052,3425.6308998,1367.1678074,1743.9588946,1751.6204277,753.6115757
2015-07-02,8851.0670482,3245.6952451,1356.6357226,1735.3834446,1731.9666198,781.3860161
2015-07-03,8797.0286526,3280.3749201,1294.7823552,1718.4249306,1728.2071596,775.2392871
2015-07-06,8639.0711461,3059.4779087,1285.6317087,1743.9121342,1779.1674767,770.8819178
2015-07-07,8457.2477613,3005.3530741,1306.212847,1567.1867052,1822.6228295,755.8723055
2015-07-08,7383.714516,2577.6974268,1093.1560177,1150.3503328,1791.5542828,770.9564559
2015-07-09,6849.7142724,2387.3484633,969.996278,1119.313164,1715.5148933,657.5414738
2015-07-10,7237.9966287,2535.2428718,1041.4527478,1203.472643,1800.0608121,657.767554
2015-07-13,7383.1328127,2570.0004745,1083.2324,1214.7066914,1857.4231957,657.7700511
2015-07-14,7574.0434815,2719.2295751,1102.7816863,1204.2927622,1861.3128862,686.4265717
2015-07-15,7527.0613368,2693.9098106,1087.5980936,1217.022839,1847.6345653,680.8960283
