,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-06-30,14897.4922379,4030.5660459,2188.2765075,4316.4721224,3016.1604569,1346.0171052
2017-07-03,15279.7102052,4021.9292146,2270.0373944,4541.2110552,3080.2088642,1366.3236768
2017-07-04,14831.7071941,3975.8076954,2179.9241661,4253.9667184,3016.7890157,1405.2195985
2017-07-05,14999.7851377,3938.2927332,2277.8836473,4345.8541314,3032.3061696,1405.4484562
2017-07-06,15151.3335979,4023.1508441,2382.0536412,4324.2088802,3005.4906619,1416.4295705
2017-07-07,15331.7778059,4003.7231559,2400.7867143,4451.9424716,3035.8332596,1439.4922045
2017-07-10,15388.3391767,4057.571298,2396.6716878,4506.8533974,2998.8194191,1428.4233744
2017-07-11,15623.5771332,3950.2977809,2565.3217913,4688.3756914,3020.6552698,1398.9265998
2017-07-12,15598.6628019,3926.334228,2600.0779837,4600.9935,3079.6280649,1391.6290253
2017-07-13,15769.205269,3879.4727166,2622.7303324,4787.5577394,3082.9648874,1396.4795932
2017-07-14,15397.790678,3766.4029145,2713.9910806,4470.4535464,3048.5900151,1398.3531214
2017-07-17,15727.3400186,3781.8863012,2756.3453258,4662.1402704,3142.6208198,1384.3473014
2017-07-18,15642.8867226,3766.6709534,2742.6138554,4709.7908574,3062.7143731,1361.0966833
2017-07-19,15879.0320222,3784.0070825,2869.5422525,4773.2757678,3110.4209718,1341.7859476
2017-07-20,15445.5999562,3833.9448994,2864.1825016,4340.0069084,3046.5282219,1360.9374249
2017-07-21,15378.3847863,3841.9319391,2753.9535749,4342.0061992,3054.541914,1385.9511591
2017-07-24,15204.3230328,3758.9378171,2751.5078701,4274.2359776,3038.7726213,1380.8687467
2017-07-25,15581.0025207,3802.5670765,2789.2419874,4380.5133572,3239.0450024,1369.6350972
2017-07-26,15646.0305115,3756.5913468,2797.0971638,4275.707501,3436.4302043,1380.2042956
2017-07-27,15691.9067065,3773.0553805,2782.6293147,4330.1486212,3441.7172184,1364.3561717
2017-07-28,15399.4904184,3740.8351581,2637.5823726,4321.472968,3353.9069694,1345.6929503
2017-07-31,15611.6913018,3709.9107547,2594.8146746,4528.3477828,3427.3306719,1351.2874178
2017-08-01,15245.9315744,3712.7714891,2624.8240765,4217.585607,3322.8565412,1367.8938606
2017-08-02,15451.8737524,3671.9809404,2584.9720245,4450.6653126,3369.4732807,1374.7821942
2017-08-03,15403.2528167,3591.8966992,2518.5537201,4543.9413772,3367.3542192,1381.506801
2017-08-04,15521.2830238,3568.5477179,2589.2840862,4486.6334744,3465.8619557,1410.9557896
2017-08-07,15413.1026521,3532.2114402,2498.7827179,4488.8528494,3490.7406026,1402.515042
2017-08-08,15301.1177931,3475.779037,2560.5938454,4280.472366,3586.5136793,1397.7588654
2017-08-09,15847.8948234,3476.9447718,2619.5895066,4465.379395,3860.2031749,1425.7779751
2017-08-10,15643.1698358,3498.2034514,2615.5591556,4336.3611606,3750.0619414,1442.9841268
2017-08-11,14977.3058653,3351.5508696,2368.8104557,4213.193118,3609.0551529,1434.6962691
2017-08-14,14898.4121807,3365.5724093,2336.2818286,4138.5873008,3581.6260901,1476.3445519
2017-08-15,14655.7237105,3286.2544913,2290.9324555,4144.926821,3526.5084014,1407.1015413
2017-08-16,14655.7827717,3285.0026628,2251.0356443,4097.0706058,3638.9142763,1383.7595825
2017-08-17,15351.9511331,3312.0567458,2345.3408617,4350.731322,3875.5653998,1468.2568038
2017-08-18,15274.0746869,3290.0617055,2350.2674,4314.5404522,3842.884752,1476.3203772
2017-08-21,15777.9083103,3325.8425868,2404.2830606,4610.5040644,3949.4211096,1487.8574889
2017-08-22,15810.0047692,3408.1622791,2475.7211515,4468.6264792,3967.1492628,1490.3455966
2017-08-23,15585.2732871,3376.2304592,2434.3878116,4422.7122358,3879.2276549,1472.7151256
2017-08-24,15604.6842301,3378.9121412,2451.7724928,4369.8471684,3931.5066841,1472.6457436
2017-08-25,15755.6369063,3339.5886371,2495.6204021,4407.680105,4032.0108267,1480.7369354
2017-08-28,15584.3406612,3367.2761514,2417.1569374,4356.704496,3937.577731,1505.6253454
2017-08-29,15477.0656205,3309.8902297,2484.1052123,4265.2172482,3853.6638994,1564.1890309
2017-08-30,15336.786108,3298.2847974,2486.0947331,4151.5075804,3913.0345076,1487.8644895
2017-08-31,15508.9226217,3272.8048181,2544.9438233,4322.142499,3887.2878192,1481.7436621
